广东,#genre#
惠州公共,http://livehuiz.sobeycache.com/live/zb02.m3u8?auth_key=1653235870-0-0-6c87fd8c193ccd000e465ef87de83ebf
惠东综合,http://hnhbxww.com/live.php?http://mlive1.91kds.cn/b9/itouchtv.m3u8?id=gdhzhd1

港澳台,#genre#
澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
互动新闻,http://202.175.127.77/live/show/ch2/index.m3u8
澳门有线1,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线3,http://202.175.127.77/live/show/ch3/index.m3u8
澳门卫视,http://stream.mastvnet.com/MSTV/SD/live.m3u8
澳视葡文,http://61.244.22.5/ch2/_definst_/ch2.live/playlist.m3u8
澳视澳门,http://61.244.22.5/ch1/_definst_/ch1.live/playlist.m3u8
澳门体育,http://61.244.22.5/ch4/sport_ch4.live/chunklist_w262889433.m3u8
澳门综艺,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8
澳门Macau,http://61.244.22.5/ch3/ch3.live/master.m3u8
澳门资讯,http://61.244.22.5/ch5/_definst_/info_ch5.live/playlist.m3u8
澳门莲花卫视,http://live-rtmp.macaulotustv.com/lotustv/5562e9e4d409d24c9600075c.m3u8#rtmp://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c
凤凰资讯,http://www.sfds.online/agent/fhx.php?id=zxhd#http://qlive.fengshows.cn/live720p/PIN.flv#rtmp://58.200.131.2:1935/livetv/fhzx
凤凰中文,http://www.sfds.online/agent/fhx.php?id=zwhd#http://qlive.fengshows.cn/live720p/PCC.flv#rtmp://58.200.131.2:1935/livetv/fhzw

凤凰电影,rtmp://58.200.131.2:1935/livetv/fhdy
凤凰香港,http://www.sfds.online/agent/fhx.php?id=hkhd#http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
明珠台,http://116.199.5.52:8114/00000000/hls/index.m3u8?Fsv_chan_hls_se_idx=12&FvSeid=1&Fsv_ctype=LIVES&Fsv_otype=1&Provider_id=&Pcontent_id=.m3u8
星空卫视,https://www.fanmingming.cn/hls/startv.m3u8#http://116.199.5.51:8114/00000000/hls/9.m3u8?Fsv_chan_hls_se_idx=234&FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=234&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=.m3u8&Fsv_CMSID=&Fsv_otype=1
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
香港亚视ATV,https://15813114727637862976168173814320.live.prod.hkatv.com/a1_cbr_lo_720p.m3u8
翡翠台,http://url.cn/nDx3BCHJ
无线新闻,http://www.sfds.online/agent/tvb.php?id=inews?is_hd
无线资讯,http://www.sfds.online/agent/tvb.php?id=j5_ch85?is_hd

广西,#genre#
广西乐思购,http://mobilelive.gxtv.cn/live/nn_live1002/playlist.m3u8
广西影视,http://mobilelive.gxtv.cn/live/nn_live1003/playlist.m3u8
广西卫视,http://mobilelive.gxtv.cn/live/nn_live1004/playlist.m3u8
广西综艺旅游,http://mobilelive.gxtv.cn/live/nn_live1005/playlist.m3u8
